Название;Материал;Дата поступления;Дата документа о качестве;Документ о качестве;;Отбор проб;Номер документа о качестве;Предприятие изготовитель
;ПГС по ГОСТ 23735;02.03.2025;;;;02.03/25-06;;"ООО ""СК ""Автодор"", карьер ""Путейское-1"""
0000260;Бетонные образцы-кубы;26.02.2025;11.02.2025;Файл: протокол № 40-ИС от 11.03.2025 (1)-002.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=181248&field_id=PROPERTY_1419&file_id=213307&ncc=y&download=y&download=y;40-ИС;0000260;ООО Компания Виталан
1;АБС к/з пл. тип Б М II по ГОСТ 9128;14.03.2025;11.03.2025;Файл: ДК 1 от 11.03.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=174397&field_id=PROPERTY_1419&file_id=206613&ncc=y&download=y&download=y;13.03.2/Т-13-03;1;"ООО ""СУ925"""
173017;Щебень фр. 20-40 мм по ГОСТ 8267;08.02.2025;30.01.2025;Файл: паспорт протокол 07.02.2025-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173017&field_id=PROPERTY_1419&file_id=205137&ncc=y&download=y&download=y;Мак/1;;ГК Недра
173022;Бетонные образцы-кубы;05.12.2024;04.12.2024;Файл: Паспорт от 04 декабря БСТ 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173022&field_id=PROPERTY_1419&file_id=205143&ncc=y&download=y&download=y;0412/-БЕТ;041224-3;"ООО ""ГК ПЕГАС"""
173025;Бетонные образцы-кубы;27.12.2024;26.12.2024;Файл: Паспорт от 26 декабря БСТ 2.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173025&field_id=PROPERTY_1419&file_id=205145&ncc=y&download=y&download=y;2612/-БЕТ;БА-11324;"ООО ""СОЮЗ"""
173028;Бетонные образцы-кубы;27.12.2024;26.12.2024;Файл: Паспорт от 26 декабря БСТ 3.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173028&field_id=PROPERTY_1419&file_id=205147&ncc=y&download=y&download=y;2612/-БЕТ2;БА-11325;"ООО ""СОЮЗ"""
173031;Бетонные образцы-кубы;06.12.2024;05.12.2024;Файл: Паспорт от 05 декабря БСТ 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173031&field_id=PROPERTY_1419&file_id=205149&ncc=y&download=y&download=y;0512/-БЕТ;051224-1;"ООО ""ГК ПЕГАС"""
173034;Бетонные образцы-кубы;10.12.2024;09.12.2024;Файл: Паспорт от 09 декабря БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173034&field_id=PROPERTY_1419&file_id=205151&ncc=y&download=y&download=y;0912/-БЕТ;091224-1;"ООО ""ГК ПЕГАС"""
173037;Бетонные образцы-кубы;11.12.2024;10.12.2024;Файл: Паспорт от 10 декабря БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173037&field_id=PROPERTY_1419&file_id=205153&ncc=y&download=y&download=y;1012/-БЕТ;БА-10750;"ООО ""СОЮЗ"""
173040;Бетонные образцы-кубы;12.12.2024;11.12.2024;Файл: Паспорт от 11 декабря БСТ 2.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173040&field_id=PROPERTY_1419&file_id=205521&ncc=y&download=y&download=y;1112/-БЕТ;БА-10877/1;"ООО ""СОЮЗ"""
173043;Бетонные образцы-кубы;13.12.2024;12.12.2024;Файл: Паспорт от 12 декабря БСТ 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173043&field_id=PROPERTY_1419&file_id=205156&ncc=y&download=y&download=y;1212/-БЕТ;121224-3;"ООО ""ГК ПЕГАС"""
173046;Песок по ГОСТ 8736;16.01.2025;06.01.2025;Файл: Паспорт №2376 от 06.01.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173046&field_id=PROPERTY_1419&file_id=205158&ncc=y&download=y&download=y;13/01/2025;;"ООО ""СК Аврора"""
173049;Грунт по ГОСТ 25100;16.01.2025;06.01.2025;Файл: Паспорт №2376 от 06.01.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173049&field_id=PROPERTY_1419&file_id=205160&ncc=y&download=y&download=y;13/01/2025;;"ООО ""СК Аврора"""
173053;Бетонные образцы-кубы;16.01.2025;28.12.2024;Файл: Паспорт №12326 от 28.12.2024.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173053&field_id=PROPERTY_1419&file_id=205162&ncc=y&download=y&download=y;28/12/2024;;"АО ""Бетоника"""
173057;Бетонные образцы-кубы;16.01.2025;29.12.2024;Файл: Паспорт №12329 от 29.12.2024.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173057&field_id=PROPERTY_1419&file_id=205165&ncc=y&download=y&download=y;29/12/2024;;"АО ""Бетоника"""
173061;Бетонные образцы-кубы;16.01.2025;05.01.2025;Файл: Паспорт №52 от 05.01.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173061&field_id=PROPERTY_1419&file_id=205167&ncc=y&download=y&download=y;05/01/2025;;"АО ""Бетоника"""
173065;Бетонные образцы-кубы;16.01.2025;08.01.2025;Файл: Паспорт 109 от 08.01.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173065&field_id=PROPERTY_1419&file_id=205169&ncc=y&download=y&download=y;08/01/2025;;"АО ""Бетоника"""
173079;Песок по ГОСТ 8736;20.01.2025;21.10.2024;Файл: Паспорт 301 1 от 21.10.2024.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173079&field_id=PROPERTY_1419&file_id=205173&ncc=y&download=y&download=y;243-2425;;"ООО ""Тэка-Сервис"""
173082;Грунт в кольцах ;20.01.2025;;;;244-2425;;
173085;Бетонные образцы-кубы;13.01.2025;16.12.2024;Файл: Паспорт 3710 от 16.12.2024.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173085&field_id=PROPERTY_1419&file_id=205176&ncc=y&download=y&download=y;245-2425;;"ООО ""Куб"""
173090;Бетонные образцы-кубы;13.01.2025;18.12.2024;Файл: Паспорт 3719 от 18.12.2024.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173090&field_id=PROPERTY_1419&file_id=205179&ncc=y&download=y&download=y;246-2425;;"ООО ""Куб"""
173100;Песок по ГОСТ 8736;12.03.2025;25.02.2025;Файл: Паспорт №4 от 25.02.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173100&field_id=PROPERTY_1419&file_id=205187&ncc=y&download=y&download=y;10-08-2025-2;;"ООО ""ЗемСтройПроект"""
173105;ЩПС С-5 по ГОСТ 25607;12.03.2025;16.10.2024;Файл: Паспорт бн от 16.10.2024.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173105&field_id=PROPERTY_1419&file_id=205242&ncc=y&download=y&download=y;10-08-2025-1;;"ООО ""Якима Гранит"""
173108;Бетонные образцы-кубы;14.12.2024;13.12.2024;Файл: Паспорт от 13 декабря БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173108&field_id=PROPERTY_1419&file_id=205244&ncc=y&download=y&download=y;1312/-БЕТ;БА-10939;"ООО ""СОЮЗ"""
173111;Песок по ГОСТ 8736;21.02.2025;21.02.2025;Файл: Паспорт №2 от 21.02.2025.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173111&field_id=PROPERTY_1419&file_id=205246&ncc=y&download=y&download=y;1/АД-1509;;"ООО ""КПК Ресурс"""
173115;Бетонные образцы-кубы;14.12.2024;13.12.2024;Файл: Паспорт от 13 декабря БСТ 2.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173115&field_id=PROPERTY_1419&file_id=205248&ncc=y&download=y&download=y;1312/-БЕТ2;БА-10954;"ООО ""СОЮЗ"""
173118;Грунт по ГОСТ 25100;10.03.2025;;;;2/АД-1509;;
173121;Бетонные образцы-кубы;16.12.2024;15.12.2024;Файл: Паспорт от 15 декабря БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173121&field_id=PROPERTY_1419&file_id=205251&ncc=y&download=y&download=y;1512/-БЕТ;БА-10991;"ООО ""СОЮЗ"""
173124;Грунт по ГОСТ 25100;10.03.2025;;;;3/АД-1509;;
173130;Грунт в кольцах ;26.12.2024;20.12.2024;Файл: Паспорт от 20 декабря отсев дробления.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173130&field_id=PROPERTY_1419&file_id=205255&ncc=y&download=y&download=y;2512/-ОК;20122024;"ООО ""СВиРТ"""
173136;Грунт в кольцах ;11.01.2025;20.12.2024;Файл: Паспорт от 20 декабря отсев дробления.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173136&field_id=PROPERTY_1419&file_id=205258&ncc=y&download=y&download=y;1001/-ОК;20122024;"ООО ""СВиРТ"""
173141;Бетонные образцы-кубы;17.12.2024;16.12.2024;Файл: Adobe Scan 21 мар. 2025?г..pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173141&field_id=PROPERTY_1419&file_id=205260&ncc=y&download=y&download=y;1612/-БЕТ;161224-1;"ООО ""ГК ПЕГАС"""
173144;Бетонные образцы-кубы;18.12.2024;17.12.2024;Файл: Паспорт от 17 декабря БСТ 2.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173144&field_id=PROPERTY_1419&file_id=205262&ncc=y&download=y&download=y;1712/-БЕТ2;БА-11050;"ООО ""СОЮЗ"""
173147;Бетонные образцы-кубы;18.12.2024;17.12.2024;Файл: Паспорт от 17 декабря БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173147&field_id=PROPERTY_1419&file_id=205264&ncc=y&download=y&download=y;1712/-БЕТ;171224-1;"ООО ""ГК ПЕГАС"""
173152;Бетонные образцы-кубы;19.12.2024;18.12.2024;Файл: Паспорт от 18 декабря БСТ 2.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173152&field_id=PROPERTY_1419&file_id=205266&ncc=y&download=y&download=y;1812/-БЕТ1;БА-11061;"ООО ""СОЮЗ"""
173155;Бетонные образцы-кубы;19.12.2024;18.12.2024;Файл: Паспорт от 18 декабря БСТ 3.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173155&field_id=PROPERTY_1419&file_id=205268&ncc=y&download=y&download=y;1812/-БЕТ;181224-1;"ООО ""ГК ПЕГАС"""
173158;Бетонные образцы-кубы;10.01.2025;09.01.2025;Файл: Паспорт от 9 января БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173158&field_id=PROPERTY_1419&file_id=205270&ncc=y&download=y&download=y;0901/-БЕТ;БА-109;"ООО ""СОЮЗ"""
173161;Бетонные образцы-кубы;11.01.2025;10.01.2025;Файл: Паспорт от 10 января БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173161&field_id=PROPERTY_1419&file_id=205272&ncc=y&download=y&download=y;1001/-БЕТ;100125-1;"ООО ""ГК ПЕГАС"""
173164;Бетонные образцы-кубы;11.01.2025;10.01.2025;Файл: Паспорт от 10 января БСТ 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173164&field_id=PROPERTY_1419&file_id=205274&ncc=y&download=y&download=y;1001/-БЕТ2;100125-2;"ООО ""ГК ПЕГАС"""
173167;Бетонные образцы-кубы;21.12.2024;20.12.2024;Файл: Паспорт от 20 декабря БСТ 2.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173167&field_id=PROPERTY_1419&file_id=205277&ncc=y&download=y&download=y;2012/-БЕТ3;201224-2;"ООО ""ГК ПЕГАС"""
173170;Бетонные образцы-кубы;21.12.2024;20.12.2024;Файл: Паспорт от 20 декабря БСТ 4.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173170&field_id=PROPERTY_1419&file_id=205575&ncc=y&download=y&download=y;2012/-БЕТ;БА-11114;"ООО ""СОЮЗ"""
173173;Бетонные образцы-кубы;21.12.2024;20.12.2024;Файл: Паспорт от 20 декабря БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173173&field_id=PROPERTY_1419&file_id=205281&ncc=y&download=y&download=y;2012/-БЕТ2;201224-1;"ООО ""ГК ПЕГАС"""
173179;Бетонные образцы-кубы;13.01.2025;12.01.2025;Файл: Паспорт от 12 января БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173179&field_id=PROPERTY_1419&file_id=205283&ncc=y&download=y&download=y;1201/-БЕТ;120125-1;"ООО ""ГК ПЕГАС"""
173183;Бетонные образцы-кубы;14.01.2025;13.01.2025;Файл: Паспорт от 13 января БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173183&field_id=PROPERTY_1419&file_id=205285&ncc=y&download=y&download=y;1301/-БЕТ;130125-1;"ООО ""ГК ПЕГАС"""
173189;Бетонные образцы-кубы;24.12.2024;23.12.2024;Файл: Паспорт от 23 декабря БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173189&field_id=PROPERTY_1419&file_id=205287&ncc=y&download=y&download=y;2312/-БЕТ;231224-1;"ООО ""ГК ПЕГАС"""
173194;Бетонные образцы-кубы;15.01.2025;14.01.2025;Файл: Паспорт от 14 января БСТ 3.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173194&field_id=PROPERTY_1419&file_id=205289&ncc=y&download=y&download=y;1401/-БЕТ;140125-2;"ООО ""ГК ПЕГАС"""
173197;Бетонные образцы-кубы;15.01.2025;14.01.2025;Файл: Паспорт от 14 января БСТ 2.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173197&field_id=PROPERTY_1419&file_id=205291&ncc=y&download=y&download=y;1401/-БЕТ2;140125-3;"ООО ""ГК ПЕГАС"""
173202;Бетонные образцы-кубы;25.12.2024;24.12.2024;Файл: Паспорт от 24 декабря БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173202&field_id=PROPERTY_1419&file_id=205293&ncc=y&download=y&download=y;2412/-БЕТ;241224-1;"ООО ""ГК ПЕГАС"""
173205;Грунт по ГОСТ 25100;10.03.2025;;;;4/АД-1509;;
173209;Бетонные образцы-кубы;25.12.2024;24.12.2024;Файл: Паспорт от 24 декабря БСТ 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173209&field_id=PROPERTY_1419&file_id=205296&ncc=y&download=y&download=y;2412/-БЕТ2;БА-11241;"ООО ""СОЮЗ"""
173213;Грунт по ГОСТ 25100;10.03.2025;;;;5/АД-1509;;
173219;Бетонные образцы-кубы;16.01.2025;15.01.2025;Файл: Паспорт от 15 января БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173219&field_id=PROPERTY_1419&file_id=205300&ncc=y&download=y&download=y;1501/-БЕТ;БА-259;"ООО ""СОЮЗ"""
173228;Грунт по ГОСТ 25100;10.03.2025;;;;6/АД-1509;;
173231;Грунт по ГОСТ 25100;18.03.2025;;;;21/АД-1509;;
173237;Грунт в кольцах ;18.03.2025;;;;16/АД-1509 17/АД-1509 18/АД-1509 19/АД-1509 20/АД-1509;;
173333;Бетонные образцы-кубы;17.01.2025;16.01.2025;Файл: Паспорт от 16 января БСТ 3.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173333&field_id=PROPERTY_1419&file_id=205606&ncc=y&download=y&download=y;1601/-БЕТ;160125-2;"ООО ""ГК ПЕГАС"""
173335;Бетонные образцы-кубы;27.12.2024;26.12.2024;Файл: Паспорт от 26 декабря БСТ 2.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173335&field_id=PROPERTY_1419&file_id=205608&ncc=y&download=y&download=y;2612/-БЕТ;БА-11324;"ООО ""СОЮЗ"""
173341;Бетонные образцы-кубы;23.01.2025;26.12.2024;Файл: Паспорт от 26 декабря БСТ 3.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173341&field_id=PROPERTY_1419&file_id=205613&ncc=y&download=y&download=y;2612/-БЕТ2;БА-11325;"ООО ""СОЮЗ"""
173344;Бетонные образцы-кубы;22.01.2025;21.01.2025;Файл: Паспорт от 21 января БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173344&field_id=PROPERTY_1419&file_id=205615&ncc=y&download=y&download=y;2101/-БЕТ;БА-351;"ООО ""СОЮЗ"""
173349;Бетонные образцы-кубы;24.01.2025;23.01.2025;Файл: Паспорт от 23 января БСТ 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173349&field_id=PROPERTY_1419&file_id=205621&ncc=y&download=y&download=y;2301/-БЕТ;230125-1;"ООО ""ГК ПЕГАС"""
173352;Бетонные образцы-кубы;24.01.2025;23.01.2025;Файл: Паспорт от 23 января БСТ 3.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173352&field_id=PROPERTY_1419&file_id=205624&ncc=y&download=y&download=y;2301/-БЕТ2;БА-444;"ООО ""СОЮЗ"""
173355;Бетонные образцы-кубы;24.01.2025;23.01.2025;Файл: Паспорт от 23 января БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173355&field_id=PROPERTY_1419&file_id=205627&ncc=y&download=y&download=y;2301/-БЕТ3;230125-2;"ООО ""ГК ПЕГАС"""
173358;Бетонные образцы-кубы;25.01.2025;24.01.2025;Файл: Паспорт от 24 января БСТ 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173358&field_id=PROPERTY_1419&file_id=205630&ncc=y&download=y&download=y;2401/-БЕТ;240125-1;"ООО ""ГК ПЕГАС"""
173361;Бетонные образцы-кубы;25.01.2025;24.01.2025;Файл: Паспорт от 24 января БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173361&field_id=PROPERTY_1419&file_id=205633&ncc=y&download=y&download=y;2401/-БЕТ2;БА-487;"ООО ""СОЮЗ"""
173364;Бетонные образцы-кубы;29.01.2025;28.01.2025;Файл: Паспорт от 28 января БСТ 3.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173364&field_id=PROPERTY_1419&file_id=205636&ncc=y&download=y&download=y;2801/-БЕТ2;280125-1;"ООО ""ГК ПЕГАС"""
173369;Бетонные образцы-кубы;29.01.2025;28.01.2025;Файл: Паспорт от 28 января БСТ 5.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173369&field_id=PROPERTY_1419&file_id=205640&ncc=y&download=y&download=y;2801/-БЕТ;БА-566;"ООО ""СОЮЗ"""
173372;ПГС по ГОСТ 23735;23.03.2025;;Файл: Паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173372&field_id=PROPERTY_1419&file_id=205645&ncc=y&download=y&download=y;23.03/25-05;;"ООО ""Речной порт ""Бирск"""
173375;Бетонные образцы-кубы;29.01.2025;28.01.2025;Файл: Паспорт от 28 января БСТ 2.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173375&field_id=PROPERTY_1419&file_id=205648&ncc=y&download=y&download=y;2801/-БЕТ4;280125-3;"ООО ""ГК ПЕГАС"""
173378;Песок по ГОСТ 8736;23.03.2025;01.12.2024;Файл: Паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173378&field_id=PROPERTY_1419&file_id=205651&ncc=y&download=y&download=y;23.03/25-01;241201/38852/1;"ООО ""Закамский нерудный карьер"""
173381;Бетонные образцы-кубы;29.01.2025;28.01.2025;Файл: Паспорт от 28 января БСТ 4.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173381&field_id=PROPERTY_1419&file_id=205654&ncc=y&download=y&download=y;2801/-БЕТ3;БА-603;"ООО ""СОЮЗ"""
173385;Грунт в кольцах ;04.02.2025;20.12.2024;Файл: Паспорт от 20 декабря отсев дробления.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173385&field_id=PROPERTY_1419&file_id=205658&ncc=y&download=y&download=y;0302/-ОК;20122024;"ООО ""СВиРТ"""
173389;Бетонные образцы-кубы;24.02.2025;24.02.2025;Файл: Паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173389&field_id=PROPERTY_1419&file_id=205662&ncc=y&download=y&download=y;24.02/25-09;240225/1;"АО ""Донаэродорстрой"""
173392;Бетонные образцы-кубы;31.01.2025;30.01.2025;Файл: Паспорт от 30 января БСТ 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173392&field_id=PROPERTY_1419&file_id=205665&ncc=y&download=y&download=y;3001/-БЕТ2;300125-1;"ООО ""ГК ПЕГАС"""
173395;Бетонные образцы-кубы;24.02.2025;24.02.2025;Файл: Паспорт.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173395&field_id=PROPERTY_1419&file_id=205668&ncc=y&download=y&download=y;24.02/25-10;240225/2;"АО ""Донаэродорстрой"""
173399;Бетонные образцы-кубы;31.01.2025;30.01.2025;Файл: Паспорт от 30 января БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173399&field_id=PROPERTY_1419&file_id=205672&ncc=y&download=y&download=y;3001/-БЕТ;БА-647;"ООО ""СОЮЗ"""
173401;Бетонные образцы-кубы;10.01.2025;;;;0901/-БЕТ;;
173404;Бетонные образцы-кубы;01.02.2025;31.01.2025;Файл: Паспорт от 31 января БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173404&field_id=PROPERTY_1419&file_id=205676&ncc=y&download=y&download=y;3101/-БЕТ;БА-689;"ООО ""СОЮЗ"""
173406;Бетонные образцы-кубы;11.01.2025;;;;1001/-БЕТ;;
173408;Бетонные образцы-кубы;11.01.2025;;;;1001/-БЕТ2;;
173410;Бетонные образцы-кубы;13.01.2025;;;;1201/-БЕТ;;
173413;Бетонные образцы-кубы;04.02.2025;03.02.2025;Файл: Паспорт от 3 февраля БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173413&field_id=PROPERTY_1419&file_id=205682&ncc=y&download=y&download=y;0302/-БЕТ;БА-864;"ООО ""СОЮЗ"""
173415;Бетонные образцы-кубы;14.01.2025;;;;1301/-БЕТ;;
173417;Бетонные образцы-кубы;15.01.2025;;;;1401/-БЕТ;;
173419;Бетонные образцы-кубы;15.01.2025;;;;1401/-БЕТ2;;
173421;Бетонные образцы-кубы;16.01.2025;;;;1501/-БЕТ;;
173423;Бетонные образцы-кубы;17.01.2025;;;;1601/-БЕТ;;
173426;Бетонные образцы-кубы;10.02.2025;21.01.2025;Файл: Паспорт от 21 января БСТ 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173426&field_id=PROPERTY_1419&file_id=205690&ncc=y&download=y&download=y;2101/-БЕТ;БА-351;"ООО ""СОЮЗ"""
173429;Бетонные образцы-кубы;10.02.2025;23.01.2025;Файл: Паспорт от 23 января БСТ 2.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173429&field_id=PROPERTY_1419&file_id=205694&ncc=y&download=y&download=y;2301/-БЕТ;230125-1;"ООО ""ГК ПЕГАС"""
173432;Бетонные образцы-кубы;10.02.2025;23.01.2025;Файл: Паспорт от 23 января БСТ 3.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173432&field_id=PROPERTY_1419&file_id=205698&ncc=y&download=y&download=y;2301/-БЕТ2;БА-444;"ООО ""СОЮЗ"""
173435;Бетонные образцы-кубы;10.02.2025;23.01.2025;Файл: Паспорт от 23 января БСТ 1.jpg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=177&section_id=0&element_id=173435&field_id=PROPERTY_1419&file_id=205701&ncc=y&download=y&download=y;2301/-БЕТ3;230125-2;"ООО ""ГК ПЕГАС"""
