Название;Сортировка;ПЛП;Наименование объекта;Документ отбора проб;Ссылка;Место отбора проб;Дата отбора проб;Лицо, предоставившее пробу;Номер акта отбора проб;Примечание
209509;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 11.12.2025 акт № 10.12.25-02.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209509&field_id=PROPERTY_1409&file_id=237730&ncc=y&download=y&download=y;ПК 14+17 +1,5м от оси ВП2, ПК 14+20 ось ВП2;10.12.2025;ГЛК;10.12/25-02;
209512;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 11.12.2025 акт № 10.12.25-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209512&field_id=PROPERTY_1409&file_id=237732&ncc=y&download=y&download=y;ПК 3+05, -1,8 м от оси вправо, ПК 3+10, -2,0 м от оси вправо, ПК 3+25, -2,0 м от оси вправо, ПК 3+30, -2,0 м от оси вправо;10.12.2025;ГЛК;10.12/25-01;
209515;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 26.11.2025 акт № 26.11.25-01+.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209515&field_id=PROPERTY_1409&file_id=237738&ncc=y&download=y&download=y;ПК 257+30 +14м право, ПК 257+60 +14м право;26.11.2025;ГЛК;26.11/25-01;Соответствует по 8 кернам по среднему 26.11.2025 и 24.11.2025
209520;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 26.11.2025 акт № 26.11.25-02+.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209520&field_id=PROPERTY_1409&file_id=237739&ncc=y&download=y&download=y;ПК 257+60 +19 право, ПК 257+80 +21 право, ПК 256+80 +20 право,;26.11.2025;ГЛК;26.11/25-02;Соответствует по 8 кернам по среднему 26.11.2025 и 24.11.2025
209523;500;ПЛП 6;РЕК М3 км 86-124 II ПК;Файл: 24.11.2025 акт № 24.11.25-01+.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209523&field_id=PROPERTY_1409&file_id=237740&ncc=y&download=y&download=y;ПК 257+40 +14м право, ПК 256+85 +14м право, ПК 258+20 +14м право;24.11.2025;ГЛК;24.11/25-01;Соответствует по 8 кернам по среднему 26.11.2025 и 24.11.2025
209611;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Протокол Бетон 7 суток от 08.12.2025 испытание 15.12.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209611&field_id=PROPERTY_1409&file_id=237783&ncc=y&download=y&download=y;ПК 1264+33,93 ИССО 20 а/д Бураево - Куеда ПК 0+35 лево;08.12.2025;ГЛК;0812Б-2;
209614;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Протокол Грунт ФМС СК Автодор от 09.12.2025 испытание 10.12.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209614&field_id=PROPERTY_1409&file_id=237786&ncc=y&download=y&download=y;ПК 1151+00;09.12.2025;ГЛК;0912Г-2;
209617;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Протокол несоотв. ЩПС С-4 СК Автодор от 08.12.2025 испытание 09.12.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209617&field_id=PROPERTY_1409&file_id=237788&ncc=y&download=y&download=y;а/д Бураево-Куеда;08.12.2025;ГЛК;0812ЩПС;ПК на а/д отсутствует. В акте на отбор указаны координаты.
209620;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Протокол Щебень 80-120 СК Автодор от 01.12.2025 испытание 02.12.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209620&field_id=PROPERTY_1409&file_id=237790&ncc=y&download=y&download=y;ПК 643;01.12.2025;ГЛК;0112Щ;Камень фр 80-120
209624;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Протокол Щебень 80-120 СК Автодор от 09.12.2025 испытание 10.12.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209624&field_id=PROPERTY_1409&file_id=237792&ncc=y&download=y&download=y;ПК 643;09.12.2025;ГЛК;0912Щ;Щебень фр. 80-120мм.
209629;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Протокол Щебень 80-120 СК Автодор от 25.11.2025 испытание 26.11.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209629&field_id=PROPERTY_1409&file_id=237794&ncc=y&download=y&download=y;ПК 643;25.11.2025;ГЛК;2511Щ;фр. 80-120мм.
209634;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Протокол Щебень 80-120 СК Автодор от 27.11.2025 испытание 28.11.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=209634&field_id=PROPERTY_1409&file_id=237797&ncc=y&download=y&download=y;ПК 643;27.11.2025;ГЛК;2711Щ;Фр. 80-120мм.
