Название;Сортировка;ПЛП;Наименование объекта;Документ отбора проб;Ссылка;Место отбора проб;Дата отбора проб;Лицо, предоставившее пробу;Номер акта отбора проб;Примечание
01.02/25-01;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 952+20-ПК 952+40 насыпь на подтопл. участке 01.02.25-01 (испытание 02.02.2025) НЕ СООТВ.-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178800&field_id=PROPERTY_1409&file_id=210599&ncc=y&download=y&download=y;ЗП (подтопляемая часть), уч. ПК 952+20 - ПК 952+40;01.02.2025;ГЛК;01.02/25-01;
01.02/25-01;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1529.Грунт Купл от 01.02.25 (испытания от 02.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174799&field_id=PROPERTY_1409&file_id=206938&ncc=y&download=y&download=y;Обратная засыпка конуса, ПК 1076+83,77 ОП1, ИССО 12;01.02.2025;ГЛК;01.02/25-01;
01.02/25-01Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: В20 от 01.02.25-01-(7сут 08.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=177618&field_id=PROPERTY_1409&file_id=209421&ncc=y&download=y&download=y;ПК 570+00, укрепление русла и откосов ВПТ;01.02.2025;ГЛК;01.02/25-01Б;
01.02/25-02;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 951+00 Осн. под лежень ОП1 01.02.25-02 (испыьание 02.02.2025)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178719&field_id=PROPERTY_1409&file_id=210545&ncc=y&download=y&download=y;ПК 951+00, основание под лежень;01.02.2025;ГЛК;01.02/25-02;
01.02/25-02;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1529.Грунт Купл от 01.02.25 (испытания от 02.02.25)-3.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174802&field_id=PROPERTY_1409&file_id=206940&ncc=y&download=y&download=y;Замена слабого грунта ВПТ ПК 2+57, Развязка ПК 1076+83,77;01.02.2025;ГЛК;01.02/25-02;Повторный отбор
01.02/25-02;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Грунт ПК 951+80-ПК 952+20 Насыпь (промежут. слой) 31.01.25-02 (испытание 01.02.2025) НЕ СООТВ.-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178671&field_id=PROPERTY_1409&file_id=210511&ncc=y&download=y&download=y;ЗП, уч. ПК 951+80 - ПК 952+30;31.01.2025;ГЛК;01.02/25-02;
01.02/25-02Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: В30 от 01.02.25-02-(7сут 08.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=177967&field_id=PROPERTY_1409&file_id=209779&ncc=y&download=y&download=y;ПК 991+50, лежень Лм-1, ОК1;01.02.2025;ГЛК;01.02/25-02Б;
01.02/25-03;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1529.Грунт Купл от 01.02.25 (испытания от 02.02.25)-5.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174805&field_id=PROPERTY_1409&file_id=206942&ncc=y&download=y&download=y;ДСО, Развязка ПК 1076+83,77, уч. ПК 0+70 - ПК 3+00;01.02.2025;ГЛК;01.02/25-03;
01.02/25-03;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: ФМС Песок ПК 358 штабель Чугарыш 01.02.25-03 (испытание 02.02.2025)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=177901&field_id=PROPERTY_1409&file_id=209704&ncc=y&download=y&download=y;ПК 358 штабель;01.02.2025;ГЛК;01.02/25-03;Паспорт не предоставлен
01.02/25-04;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1529.Грунт Купл от 01.02.25 (испытания от 02.02.25)-7.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174808&field_id=PROPERTY_1409&file_id=206944&ncc=y&download=y&download=y;Земляное полотно 10,11-й слой, уч. ПК 1057+00 - ПК 1057+40;01.02.2025;ГЛК;01.02/25-04;
01.02/25-04;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: ФМС Щебень фр.20-40мм ПК 642+50 Биянка 01.02.25-04 (исптание 02.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=177913&field_id=PROPERTY_1409&file_id=209713&ncc=y&download=y&download=y;ПК 642+50 штабель;01.02.2025;ГЛК;01.02/25-04;
01.02/25-05;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1557.Бетон на 7 суток от 01.02.2025 испытнаие от 08.02.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175234&field_id=PROPERTY_1409&file_id=207399&ncc=y&download=y&download=y;ПК 1086, укрепление русла и откосов входного оголовка ВПТ;01.02.2025;ГЛК;01.02/25-05;
01.03/25-01;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Грунт ПК 988+97 осн. под ТП 01.03.25-01 (испытание 02.03.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179626&field_id=PROPERTY_1409&file_id=211551&ncc=y&download=y&download=y;ПК 988+97. Основание зп под ТП;01.03.2025;ГЛК;01.03/25-01;
01.03/25-01;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1439.Грунт Купл от 01.03.25 испытание от 02.03.25-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175843&field_id=PROPERTY_1409&file_id=207848&ncc=y&download=y&download=y;Земляное полотно 2-й слой, уч. ПК 1238+00 - ПК 1241+00;01.03.2025;ГЛК;01.03/25-01;
01.03/25-01Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: В30 от 01.03.25-01-(7суток 08.03.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179404&field_id=PROPERTY_1409&file_id=211220&ncc=y&download=y&download=y;ПК 964+46, фундаментная плита ТП3;01.03.2025;ГЛК;01.03/25-01Б;
01.03/25-02;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Грунт ПК 914+69 осн. под ТП 01.03.25-02 (испытание 02.03.25) НЕ СООТВ.-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179596&field_id=PROPERTY_1409&file_id=211530&ncc=y&download=y&download=y;ПК 914+69 право от ОХ. Основание зп под ТП;01.03.2025;ГЛК;01.03/25-02;
01.03/25-02;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1439.Грунт Купл от 01.03.25 испытание от 02.03.25-03.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175846&field_id=PROPERTY_1409&file_id=207850&ncc=y&download=y&download=y;Земляное полотно 2-й слой, уч. ПК 1315+24 - ПК 1313+50;01.03.2025;ГЛК;01.03/25-02;
01.03/25-02Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: В7,5 от 01.03.25-02-(28суток 29.03.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179483&field_id=PROPERTY_1409&file_id=211356&ncc=y&download=y&download=y;ПК 988+97, бетонная подготовка под основание;01.03.2025;ГЛК;01.03/25-02Б;
01.03/25-02Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: В7,5 от 01.03.25-02-(7суток 08.03.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179345&field_id=PROPERTY_1409&file_id=211159&ncc=y&download=y&download=y;ПК 988+97, подготовка под основание РТП4;01.03.2025;ГЛК;01.03/25-02Б;
01.03/25-03;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: ФМС Песок Чугарыш ПК 358 штабель 01.03.25-03 (испытание 02.03.25) (1)-001.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178984&field_id=PROPERTY_1409&file_id=210732&ncc=y&download=y&download=y;ПК 358 штабель. Устройство конусов, дождевой и кабельной канализации, ДУ;01.03.2025;ГЛК;01.03/25-03;
01.03/25-03;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1439.Грунт Купл от 01.03.25 испытание от 02.03.25-05.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175849&field_id=PROPERTY_1409&file_id=207852&ncc=y&download=y&download=y;Земляное полотно 3,4-й слой, уч. ПК 1304+75 - ПК 1305+76;01.03.2025;ГЛК;01.03/25-03;
01.03/25-03Б;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: В7,5 от 01.03.25-03-(7суток 08.03.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179348&field_id=PROPERTY_1409&file_id=211162&ncc=y&download=y&download=y;ПК 914+69, бетонная подготовка под основание ТП1;01.03.2025;ГЛК;01.03/25-03Б;
01.03/25-04;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1440.Грунт Купл НЕСООТВЕТСВИЕ от 01.03.25 испытание от 02.03.25-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175864&field_id=PROPERTY_1409&file_id=207865&ncc=y&download=y&download=y;Земляное полотно 6,7,8,9-й слой, уч. ПК 1091+80 - ПК 1092+20;01.03.2025;ГЛК;01.03/25-04;
01.03/25-05;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1439.Грунт Купл от 01.03.25 испытание от 02.03.25-07.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175852&field_id=PROPERTY_1409&file_id=207854&ncc=y&download=y&download=y;ПК 1020+00, ИССО-8 , ОП1 обратная засыпка 7,8,9,10-й слой;01.03.2025;ГЛК;01.03/25-05;
01.03/25-06;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1439.Грунт Купл от 01.03.25 испытание от 02.03.25-10.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175858&field_id=PROPERTY_1409&file_id=207861&ncc=y&download=y&download=y;ПК 1020+00, ИССО-8, ОП2, обратная засыпка 9,10-й слой;01.03.2025;ГЛК;01.03/25-06;
01.03/25-07;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1439.Грунт Купл от 01.03.25 испытание от 02.03.25-12.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175861&field_id=PROPERTY_1409&file_id=207863&ncc=y&download=y&download=y;ПК 1011+00 лево, обратная засыпка ЛОС 4-й слой;01.03.2025;ГЛК;01.03/25-07;
01.03/25-08;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1468.Бетон на 7 суток от 01.03.2025 испытание от 08.03.2025-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176077&field_id=PROPERTY_1409&file_id=208018&ncc=y&download=y&download=y;ПК 1313+00, ИССО-23, бетонная подготовка;01.03.2025;ГЛК;01.03/25-08;
01.03/25-09;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1468.Бетон на 7 суток от 01.03.2025 испытание от 08.03.2025-4.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=176080&field_id=PROPERTY_1409&file_id=208021&ncc=y&download=y&download=y;ПК 1313+00, ИССО-23, заполнения футляров трубы;01.03.2025;ГЛК;01.03/25-09;
01.04/25-01;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: КРН SP32Э ПК 877+80-ПК 881+50 ППЧ ВСО 01.04.25-01 (испытание 02.04.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179798&field_id=PROPERTY_1409&file_id=211687&ncc=y&download=y&download=y;ВСО уч. ПК 877+80 - ПК 881+50 ППЧ;01.04.2025;ГЛК;01.04/25-01;
01.04/25-01;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1593. Грунт отбор 30-02.04.25 (испытание 02.04.2025)-5.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178385&field_id=PROPERTY_1409&file_id=210258&ncc=y&download=y&download=y;ДСО, уч. ПК 1243+00 - ПК 1248+00;01.04.2025;ГЛК;01.04/25-01;
01.04/25-02;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: КРН SP32Э ПК 875+00-ПК 877+50 ППЧ ост. полоса НСП 01.04.25-02 (испытание 02.04.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179795&field_id=PROPERTY_1409&file_id=211685&ncc=y&download=y&download=y;НСП уч. ПК 875+00 - ПК 877+50 ППЧ, остановочная полоса;01.04.2025;ГЛК;01.04/25-02;
01.04/25-02;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1593. Грунт отбор 30-02.04.25 (испытание 02.04.2025)-7.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178388&field_id=PROPERTY_1409&file_id=210260&ncc=y&download=y&download=y;ПК 1304+00, ИССО-22, ОП 2 обратная засыпка конуса 6-й слой;01.04.2025;ГЛК;01.04/25-02;
01.04/25-03;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1601. Инертные материалы отюор 01.04.25 (испытание 04.04.2025)-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179137&field_id=PROPERTY_1409&file_id=210900&ncc=y&download=y&download=y;ПК 1076, штабель;01.04.2025;ГЛК;01.04/25-03;
01.04/25-04;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1601. Инертные материалы отюор 01.04.25 (испытание 04.04.2025)-04.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179140&field_id=PROPERTY_1409&file_id=210903&ncc=y&download=y&download=y;ПК 1076, штабель;01.04.2025;ГЛК;01.04/25-04;
01.04/25-05;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1601. Инертные материалы отюор 01.04.25 (испытание 04.04.2025)-07.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179143&field_id=PROPERTY_1409&file_id=210906&ncc=y&download=y&download=y;ПК 1076 штабель;14.02.0025;ГЛК;01.04/25-05;
01.04/25-05.1;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1601. Инертные материалы отюор 01.04.25 (испытание 04.04.2025)-10.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179146&field_id=PROPERTY_1409&file_id=210909&ncc=y&download=y&download=y;ПК 1076, штабель;01.04.2025;ГЛК;01.04/25-05.1;
01.04/25-06;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1601. Инертные материалы отюор 01.04.25 (испытание 04.04.2025)-13.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179149&field_id=PROPERTY_1409&file_id=210912&ncc=y&download=y&download=y;ПК 1076 штабель;01.04.2025;ГЛК;01.04/25-06;
01.04/25-07;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1601. Инертные материалы отюор 01.04.25 (испытание 04.04.2025)-16.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179152&field_id=PROPERTY_1409&file_id=210915&ncc=y&download=y&download=y;ПК 1076, штабель;01.04.2025;ГЛК;01.04/25-07;
01.04/25-08;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1601. Инертные материалы отюор 01.04.25 (испытание 04.04.2025)-19.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179155&field_id=PROPERTY_1409&file_id=210918&ncc=y&download=y&download=y;ПК 1076 штабель;01.04.2025;ГЛК;01.04/25-08;
01.04/25-09;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1601. Инертные материалы отюор 01.04.25 (испытание 04.04.2025)-22.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179158&field_id=PROPERTY_1409&file_id=210921&ncc=y&download=y&download=y;ПК 1076 штабель;01.04.2025;ГЛК;01.04/25-09;
01.04/25-10;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1601. Инертные материалы отюор 01.04.25 (испытание 04.04.2025)-25.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179161&field_id=PROPERTY_1409&file_id=210924&ncc=y&download=y&download=y;ПК 1076 штабель;01.04.2025;ГЛК;01.04/25-10;
01.04/25-11;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1601. Инертные материалы отюор 01.04.25 (испытание 04.04.2025)-28.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179164&field_id=PROPERTY_1409&file_id=210927&ncc=y&download=y&download=y;ПК 1076 штабель;01.04.2025;ГЛК;01.04/25-11;
01.04/25-12;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1602. Щебень 40-70-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179209&field_id=PROPERTY_1409&file_id=210982&ncc=y&download=y&download=y;ПК 1076 штабель;01.04.2025;ГЛК;01.04/25-12;
01.04/25-13;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1601. Инертные материалы отюор 01.04.25 (испытание 04.04.2025)-31.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=179167&field_id=PROPERTY_1409&file_id=210930&ncc=y&download=y&download=y;ПК 1076 штабель;01.04.2025;ГЛК;01.04/25-13;
01.04/25-14;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1612.Бетон на 7 суток от 01.04.2025 испытание от 08.04.2025-01.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180053&field_id=PROPERTY_1409&file_id=211975&ncc=y&download=y&download=y;ПК 1311. Буронабивные сваи;01.04.2025;ГЛК;01.04/25-14;
01.04/25-15;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1612.Бетон на 7 суток от 01.04.2025 испытание от 08.04.2025-04.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180059&field_id=PROPERTY_1409&file_id=211981&ncc=y&download=y&download=y;ПК 1315, бортовой камень;01.04.2025;ГЛК;01.04/25-15;
01.04/25-16;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1612.Бетон на 7 суток от 01.04.2025 испытание от 08.04.2025-07.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180065&field_id=PROPERTY_1409&file_id=211987&ncc=y&download=y&download=y;ПК 1316, ростверк шумозащитных экранов;01.04.2025;ГЛК;01.04/25-16;
01.04/25-17;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1612.Бетон на 7 суток от 01.04.2025 испытание от 08.04.2025-10.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180071&field_id=PROPERTY_1409&file_id=211992&ncc=y&download=y&download=y;ПК 1395, основание кювета;01.04.2025;ГЛК;01.04/25-17;
01.04/25-18;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1612.Бетон на 7 суток от 01.04.2025 испытание от 08.04.2025-13.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180080&field_id=PROPERTY_1409&file_id=212001&ncc=y&download=y&download=y;ПК 1336, бортовой камень;01.04.2025;ГЛК;01.04/25-18;
0103/-БЕТ2;500;ПЛП 2.2;СТР Обход Адлера;Файл: Акт отбора проб бетона от 1 марта 2025 г. В30 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=180587&field_id=PROPERTY_1409&file_id=212596&ncc=y&download=y&download=y;Разворотный путепровод через А-149;01.03.2025;ГЛК;0103/-БЕТ2;
0103/-БЕТ2;500;ПЛП 2;СТР Обход Адлера;Файл: Акт отбора проб бетона от 1 марта 2025 г. В30 1.jpeg;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174844&field_id=PROPERTY_1409&file_id=206994&ncc=y&download=y&download=y;Разворотный путепровод через А-149, ОП3 БНС6;01.03.2025;ГЛК;0103/-БЕТ2;
02.02/25-01;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1534. Грунт Купл НЕ СООТВЕТСТВИЕ отбор 02.02.25 (испытание 03.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=174826&field_id=PROPERTY_1409&file_id=206960&ncc=y&download=y&download=y;Земляное полотно 12,13-й слой, Развязка ПК 1076+83,77, уч. ПК 5+72 - ПК 8+40;02.02.2025;ГЛК;02.02/25-01;
02.02/25-01;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Грунт ПК 952+20-ПК 952+40 Насыпь (3 слой) 02.02.25-01 (испытание 03.02.2025)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178674&field_id=PROPERTY_1409&file_id=210513&ncc=y&download=y&download=y;ЗП 3-й слой, уч. ПК 952+20 - ПК 952+40;02.02.2025;ГЛК;02.02/25-01;
02.02/25-02;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1535. Грунт Купл отбор 02.02.25 (испытание 03.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175062&field_id=PROPERTY_1409&file_id=207225&ncc=y&download=y&download=y;Земляное полотно 10,11-й слой, а/д Янаул-Майск уч. ПК 5+72 - ПК 8+40;02.02.2025;ГЛК;02.02/25-02;
02.02/25-02;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Грунт ПК 952+20-ПК 952+40 Насыпь (4 слой) 02.02.25-02 (испытание 03.02.2025)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178677&field_id=PROPERTY_1409&file_id=210515&ncc=y&download=y&download=y;ЗП 4-й слой, уч. ПК 952+20 - ПК 952+40;02.02.2025;ГЛК;02.02/25-02;
02.02/25-03;500;ПЛП 1;СТР М-12 Д-А, 1-й этап;Файл: Купл. Песок ПК 952+00 Насыпь после ЖБТ (1 слой) 02.02.25-03 (испытание 03.02.2025)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=178794&field_id=PROPERTY_1409&file_id=210595&ncc=y&download=y&download=y;ПК 952+00, насыпь;02.02.2025;ГЛК;02.02/25-03;
02.02/25-03;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1535. Грунт Купл отбор 02.02.25 (испытание 03.02.25)-3.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175065&field_id=PROPERTY_1409&file_id=207227&ncc=y&download=y&download=y;Земляное полотно 7,8,9-й слой, а/д Янаул-Майск, уч. ПК 8+36 - ПК 5+70;02.02.2025;ГЛК;02.02/25-03;
02.02/25-04;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1535. Грунт Купл отбор 02.02.25 (испытание 03.02.25)-5.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175068&field_id=PROPERTY_1409&file_id=207229&ncc=y&download=y&download=y;Земляное полотно, уч. ПК 1138+26 - ПК 1138+66;02.02.2025;ГЛК;02.02/25-04;
02.02/25-05;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1535. Грунт Купл отбор 02.02.25 (испытание 03.02.25)-7.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175071&field_id=PROPERTY_1409&file_id=207231&ncc=y&download=y&download=y;ДСО, уч. ПК 1077+60 - ПК 1080+30;02.02.2025;ГЛК;02.02/25-05;
02.02/25-06;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1540. Щебень ФМС отбор 02.02.25 (испытание 04.02.25)-1.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175095&field_id=PROPERTY_1409&file_id=207248&ncc=y&download=y&download=y;ПК 1076;02.02.2025;ГЛК;02.02/25-06;Для приготовления асфальтобетонной смеси
02.02/25-07;500;ПЛП 3;СТР М-12 Д-А, 1-й этап;Файл: 1540. Щебень ФМС отбор 02.02.25 (испытание 04.02.25)-4.pdf;https://portal.avtodor-eng.ru/laboratoriya/laboratoriya_handbook/?mode=view&list_id=176&section_id=0&element_id=175098&field_id=PROPERTY_1409&file_id=207251&ncc=y&download=y&download=y;ПК 1076;02.02.2025;ГЛК;02.02/25-07;
