ПЛП;Наименование объект;Номер акта отбора проб;Дата отбора проб;Место отбора проб;Лицо, предоставившее пробу;Дата поступления материала;Наименование материала;Документ о качестве;Предприятие-изготовитель;Номер протокола;Дата протокола;Результат испытаний;Примечание
ПЛП 3;РЕК М-4 км 933-км 1024;№07/06-SMA 16;07.06.2026;АБЗ;ГЛК;07.06.2026;АБС SMA-16 по ГОСТ Р 58401.2;-;ООО Трансстроймеханизация;№07/06-SMA 16;08.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№02/06-ОМС 32К;02.06.2026;ППЧ, ПК 9975+00;ГЛК;02.06.2026;ОМС 32 К по ГОСТ Р 70197.1;-;ООО Трансстроймеханизация;№02/06-ОМС 32К;09.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№08/06-П;08.06.2026;Штабель АБЗ;ГЛК;08.06.2026;Песок по ГОСТ 32730;-;ООО Трансстроймеханизация;№08/06-П;09.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№08/06-Щ;08.06.2026;Штабель АБЗ;ГЛК;08.06.2026;Щебень фр. 4-8 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№08/06-Щ;09.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№09/06-Щ;09.06.2026;Штабель АБЗ;ГЛК;09.06.2026;Щебень фр. 8-16 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№09/06-Щ;10.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№09/06-SP 32Э;09.06.2026;АБЗ;ГЛК;09.06.2026;АБС SP-32Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№09/06-SP 32Э;10.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№10/06-Щ;10.06.2026;Штабель АБЗ;ГЛК;10.06.2026;Щебень фр. 16-22,4 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№10/06-Щ;11.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№10/06-SP 22Э;10.06.2026;АБЗ;ГЛК;10.06.2026;АБС SP-22Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№10/06-SP 22Э;11.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№08/06-ОМС 32К;08.06.2026;ППЧ, ПК 9793+00;ГЛК;08.06.2026;ОМС 32 К по ГОСТ Р 70197.1;-;ООО Трансстроймеханизация;№08/06-ОМС 32К;15.02.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№23/05-Щ;23.05.2026;Штабель ЦБЗ;ГЛК;23.05.2026;Щебень фр. 5-20 мм по ГОСТ 8267;-;ООО Трансстроймеханизация;№23/05-Щ;24.05.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№01/06-Щ;01.06.2026;Штабель ЦБЗ;ГЛК;01.06.2026;Щебень фр. 5-20 мм по ГОСТ 8267;-;ООО Трансстроймеханизация;№01/06-Щ;02.06.2026;Соответствует;
