ПЛП;Наименование объект;Номер акта отбора проб;Дата отбора проб;Место отбора проб;Лицо, предоставившее пробу;Дата поступления материала;Наименование материала;Документ о качестве;Предприятие-изготовитель;Номер протокола;Дата протокола;Результат испытаний;Примечание
ПЛП 6;М4 РЕМ п/п км 382+765 (правый);382/бет/19.06.26г.;19.06.2026;ОП3;ГСК;29.06.2026;Бетонные образцы-кубы;-;ООО ППП АБСИДА / ООО ТВОЙ БЕТОН;382/бет/19.06.26г.1;17.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№22/06-SP 32Э;22.06.2026;АБЗ;ГЛК;22.06.2026;АБС SP-32Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№22/06-SP 32Э;23.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№21/06-SP 22Э;21.06.2026;АБЗ;ГЛК;21.06.2026;АБС SP-22Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№21/06-SP 22Э;22.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№21/06-КЗ-НСП;21.06.2026;АБЗ;ГЛК;21.06.2026;АБС к/з пл. тип А М I по ГОСТ 9128;-;ООО Трансстроймеханизация;№21/06-КЗ-НСП;22.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№03/07-К;03.07.2026;КМ 1002;ГЛК;03.07.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№03/07-К;03.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№03/07-ДСО;03.07.2026;ЛПЧ, ПК 10000+30;ГЛК;03.07.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№03/07-ДСО;03.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№03/07-П;03.07.2026;Штабель КМ 1002;ГЛК;03.07.2026;Грунт по ГОСТ 33063;-;ООО Трансстроймеханизация;№03/07-П;04.07.2026;Не соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№02/07-К;02.07.2026;КМ 1002+00, ОП№4;ГЛК;02.07.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№02/07-К;02.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№02/07/01-ДСО;02.07.2026;ППЧ ПК 10051+70;ГЛК;02.07.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№02/07/01-ДСО;02.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№02/07-ДСО;02.07.2026;ЛПЧ, ПК 9972+00, ПК 9974+00;ГЛК;02.07.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№02/07-ДСО;02.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№30/06-ОМС;30.06.2026;ППЧ, ПК 9893+00 правая полоса;ГЛК;30.06.2026;ОМС 32 К по ГОСТ Р 70197.1;-;ООО Трансстроймеханизация;№30/06-ОМС;02.07.2026;Не соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№29/06-ОМС;29.06.2026;ППЧ, ПК 9887+00 левая полоса, ТР развязка 1001+215 съезд №3 ПК 3+50;ГЛК;29.06.2026;ОМС 32 К по ГОСТ Р 70197.1;-;ООО Трансстроймеханизация;№29/06-ОМС;30.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№30/06-ДСО;30.06.2026;ЛПЧ, ПК 9967+00;ГЛК;30.06.2026;Грунт в кольцах ;-;ООО Трансстроймеханизация;№30/06-ДСО;30.06.2026;Соответствует;
